hs_contact_id,user_id,email,first_name,last_name,country,lifecycle_stage,lead_source,plan,created_date,last_activity_date,industry,company_size,subscribed_to_marketing
hs_c_d919bfcfe6,usr_00138,elizabeth.thomas94@yahoo.com,Elizabeth,Thomas,United States,lead,Referral,free,2024-01-19,2024-02-01,E-commerce,51-200,True
hs_c_d1d65fb776,usr_00139,eric.garcia51@yahoo.com,Eric,Garcia,United States,customer,Referral,pro,2024-01-20,2024-01-27,Marketing,1-10,False
hs_c_4e3ce1e30d,usr_00140,natalie.patel99@gmail.com,Natalie,Patel,United Kingdom,customer,Referral,business,2024-01-20,2024-02-22,Education,51-200,True
hs_c_03369d971e,usr_00144,nathan.patel35@works.io,Nathan,Patel,Italy,customer,Paid Social,pro,2024-01-20,2024-02-27,Legal,11-50,True
hs_c_b7e8e096c6,usr_00146,jackson.wang62@startup.ai,Jackson,Wang,United States,customer,Referral,pro,2024-01-21,2024-02-16,Legal,1-10,True
hs_c_eaedcf5485,usr_00147,logan.allen34@ventures.co,Logan,Allen,United States,customer,Referral,pro,2024-01-21,2024-03-02,Consulting,11-50,False
hs_c_f8c1600677,usr_00148,james.chen37@startup.ai,James,Chen,United States,customer,Paid Social,pro,2024-01-21,2024-01-22,Media,51-200,True
hs_c_28e0a7cd86,usr_00149,james.kumar99@gmail.com,James,Kumar,France,customer,Organic Search,pro,2024-01-21,2024-03-03,Education,11-50,True
hs_c_13fdeb1d77,usr_00150,elijah.harris48@works.io,Elijah,Harris,United States,lead,Paid Social,free,2024-01-21,2024-02-29,E-commerce,11-50,True
hs_c_b848aa23b1,usr_00151,lily.lee32@ventures.co,Lily,Lee,United States,lead,Organic Search,free,2024-01-21,2024-02-26,Consulting,51-200,True
hs_c_83153bfbf3,usr_00152,eric.baker34@company.io,Eric,Baker,United States,lead,Paid Search,free,2024-01-21,2024-01-29,Marketing,11-50,True
hs_c_b4439f7243,usr_00153,ryan.martin89@digital.com,Ryan,Martin,Italy,customer,Paid Search,business,2024-01-21,2024-03-04,Finance,11-50,True
hs_c_99d4957613,usr_00154,ryan.wang25@ventures.co,Ryan,Wang,United States,customer,Paid Search,pro,2024-01-21,2024-02-23,Marketing,1-10,False
hs_c_3af9799925,usr_00155,barbara.young80@labs.dev,Barbara,Young,United States,customer,Referral,pro,2024-01-21,2024-03-18,Media,11-50,True
hs_c_33b16232b7,usr_00156,richard.king7@yahoo.com,Richard,King,United States,lead,Paid Social,free,2024-01-21,2024-02-14,Legal,1-10,False
hs_c_a5a0c83743,usr_00158,mary.harris2@yahoo.com,Mary,Harris,United States,customer,Paid Search,pro,2024-01-21,2024-01-22,Media,1-10,True
hs_c_b6355af093,usr_00159,liam.nelson48@labs.dev,Liam,Nelson,United States,lead,Organic Search,free,2024-01-22,2024-01-26,Media,51-200,False
hs_c_21dd729659,usr_00160,grace.williams97@outlook.com,Grace,Williams,United States,lead,Organic Search,free,2024-01-22,2024-03-13,Consulting,1-10,False
hs_c_f3d4f3a588,usr_00161,thomas.adams61@works.io,Thomas,Adams,United States,customer,Referral,pro,2024-01-22,2024-03-20,Consulting,1-10,True
hs_c_4f7d3e2157,usr_00166,karen.jackson86@gmail.com,Karen,Jackson,United States,customer,Paid Search,business,2024-01-23,2024-03-07,E-commerce,1-10,True
hs_c_f801452e91,usr_00170,david.kumar44@digital.com,David,Kumar,United States,customer,Paid Social,pro,2024-01-23,2024-03-12,SaaS,1-10,False
hs_c_083a089740,usr_00171,olivia.taylor17@outlook.com,Olivia,Taylor,Italy,lead,Paid Social,free,2024-01-23,2024-02-01,Media,1-10,True
hs_c_daac154716,usr_00173,brian.baker33@yahoo.com,Brian,Baker,United States,lead,Paid Social,free,2024-01-23,2024-02-18,SaaS,11-50,False
hs_c_99b9e25656,usr_00176,nathan.reyes68@outlook.com,Nathan,Reyes,Germany,customer,Paid Search,pro,2024-01-24,2024-02-05,Consulting,11-50,True
hs_c_2f44329823,usr_00177,karen.thompson1@labs.dev,Karen,Thompson,France,customer,Referral,pro,2024-01-24,2024-03-15,Legal,11-50,True
hs_c_6ee4b1e6e1,usr_00180,elijah.young83@ventures.co,Elijah,Young,United States,customer,Referral,business,2024-01-24,2024-01-29,Healthcare,1-10,True
hs_c_1c61674cf5,usr_00181,jackson.jones23@yahoo.com,Jackson,Jones,United States,lead,Referral,free,2024-01-24,2024-02-10,SaaS,1-10,True
hs_c_8f7a8d51c7,usr_00182,lucas.jackson74@gmail.com,Lucas,Jackson,United States,customer,Paid Social,pro,2024-01-25,2024-01-28,Education,51-200,False
hs_c_be7825b908,usr_00184,jessica.reyes27@gmail.com,Jessica,Reyes,United States,customer,Paid Social,business,2024-01-25,2024-03-17,Media,1-10,True
hs_c_64ee2120c2,usr_00185,logan.brown96@works.io,Logan,Brown,United States,customer,Referral,pro,2024-01-25,2024-02-08,Education,11-50,False
hs_c_921ee2a2c7,usr_00186,patricia.flores6@works.io,Patricia,Flores,United States,customer,Paid Social,business,2024-01-25,2024-02-22,Marketing,11-50,False
hs_c_ae937a4e46,usr_00187,jennifer.white93@outlook.com,Jennifer,White,United Kingdom,customer,Organic Search,pro,2024-01-25,2024-01-31,E-commerce,51-200,True
hs_c_eb04549bfd,usr_00188,ethan.jackson85@works.io,Ethan,Jackson,United States,lead,Organic Search,free,2024-01-25,2024-02-07,E-commerce,51-200,True
hs_c_4a8468b609,usr_00189,ryan.thomas54@works.io,Ryan,Thomas,Spain,customer,Paid Search,business,2024-01-25,2024-02-28,Marketing,51-200,True
hs_c_b2fca5f6dc,usr_00190,oliver.scott14@ventures.co,Oliver,Scott,Spain,lead,Paid Search,free,2024-01-25,2024-02-23,Consulting,1-10,False
hs_c_6bd0f37103,usr_00192,lily.king53@startup.ai,Lily,King,France,customer,Paid Social,pro,2024-01-25,2024-03-14,Education,51-200,True
hs_c_e8f8ef0636,usr_00193,emma.reyes70@digital.com,Emma,Reyes,United States,customer,Paid Search,pro,2024-01-26,2024-03-14,E-commerce,11-50,True
hs_c_dc041236c5,usr_00194,justin.lee58@startup.ai,Justin,Lee,United States,customer,Organic Search,business,2024-01-26,2024-03-14,Media,11-50,False
hs_c_6e4dcd4823,usr_00196,tyler.allen29@techcorp.com,Tyler,Allen,United States,customer,Organic Search,pro,2024-01-26,2024-02-15,E-commerce,11-50,True
hs_c_d656e0675f,usr_00197,mary.moore74@works.io,Mary,Moore,Sweden,customer,Referral,pro,2024-01-26,2024-03-08,Real Estate,1-10,True
hs_c_2da8d146d4,usr_00198,patricia.roberts18@yahoo.com,Patricia,Roberts,United States,lead,Referral,free,2024-01-26,2024-03-16,Finance,11-50,False
hs_c_f13fac828d,usr_00201,adam.kim83@digital.com,Adam,Kim,United States,lead,Paid Social,free,2024-01-26,2024-02-29,Finance,1-10,False
hs_c_0dcee6aa54,usr_00202,eric.kim8@outlook.com,Eric,Kim,United States,customer,Paid Search,business,2024-01-26,2024-02-10,Healthcare,11-50,True
hs_c_88947295ad,usr_00203,tyler.carter99@outlook.com,Tyler,Carter,United States,customer,Paid Social,pro,2024-01-26,2024-02-03,E-commerce,51-200,True
hs_c_b35a1a7bfb,usr_00204,hannah.reyes7@ventures.co,Hannah,Reyes,United States,customer,Paid Social,pro,2024-01-27,2024-02-22,Finance,51-200,True
hs_c_47e3a62a5f,usr_00205,john.king42@yahoo.com,John,King,Sweden,customer,Paid Search,business,2024-01-27,2024-02-23,Legal,51-200,True
hs_c_bce300d6c2,usr_00206,joseph.taylor58@ventures.co,Joseph,Taylor,United States,lead,Paid Search,free,2024-01-27,2024-02-08,Real Estate,51-200,False
hs_c_a3e9fba182,usr_00207,jackson.garcia38@ventures.co,Jackson,Garcia,United States,customer,Referral,pro,2024-01-27,2024-02-09,Education,1-10,True
hs_c_6fbbc40dd4,usr_00209,robert.adams98@yahoo.com,Robert,Adams,Netherlands,customer,Paid Search,pro,2024-01-28,2024-02-24,Consulting,11-50,True
hs_c_809e21fb83,usr_00211,jackson.martin35@outlook.com,Jackson,Martin,United States,customer,Direct,business,2024-01-28,2024-02-04,Education,11-50,True
hs_c_2571d898ac,usr_00213,olivia.scott45@startup.ai,Olivia,Scott,United States,lead,Paid Search,free,2024-01-28,2024-02-12,Real Estate,51-200,False
hs_c_f69385a198,usr_00214,james.allen79@startup.ai,James,Allen,United States,customer,Referral,pro,2024-01-29,2024-02-29,Media,51-200,True
hs_c_96e7411f98,usr_00215,sophia.williams88@company.io,Sophia,Williams,United States,lead,Organic Search,free,2024-01-29,2024-03-26,Healthcare,1-10,True
hs_c_4e105ec40b,usr_00216,justin.garcia32@gmail.com,Justin,Garcia,United States,customer,Referral,pro,2024-01-29,2024-03-10,Real Estate,1-10,True
hs_c_00cc4010a7,usr_00217,adam.young89@startup.ai,Adam,Young,United States,lead,Referral,free,2024-01-29,2024-03-14,Marketing,11-50,False
hs_c_3fbe40b9b5,usr_00218,mia.johnson95@company.io,Mia,Johnson,United States,customer,Paid Social,pro,2024-01-29,2024-02-05,Legal,1-10,True
hs_c_0fb9dd9b0a,usr_00227,ava.anderson88@startup.ai,Ava,Anderson,United States,lead,Referral,free,2024-01-30,2024-02-23,Healthcare,11-50,True
hs_c_a653cb40e0,usr_00228,charles.martin81@gmail.com,Charles,Martin,France,customer,Referral,pro,2024-01-30,2024-02-13,Finance,11-50,True
hs_c_65067ec1a5,usr_00229,mary.lee20@company.io,Mary,Lee,United States,lead,Paid Search,free,2024-01-30,2024-02-11,Healthcare,11-50,True
hs_c_9b0c4b82be,usr_00230,kevin.wilson67@ventures.co,Kevin,Wilson,United States,lead,Paid Search,free,2024-01-30,2024-03-03,Real Estate,51-200,True
hs_c_91396a5d61,usr_00231,abigail.harris74@company.io,Abigail,Harris,United States,customer,Paid Social,pro,2024-01-31,2024-02-03,Consulting,11-50,False
hs_c_47e1f759d7,usr_00233,ryan.wilson18@company.io,Ryan,Wilson,Singapore,customer,Organic Search,pro,2024-01-31,2024-02-06,Finance,51-200,True
hs_c_e8eeaab3fd,usr_00237,mason.nelson96@labs.dev,Mason,Nelson,United States,customer,Referral,pro,2024-01-31,2024-03-03,Finance,1-10,True
hs_c_bb9ffd1206,usr_00238,richard.miller4@yahoo.com,Richard,Miller,United States,customer,Paid Social,pro,2024-01-31,2024-02-04,Real Estate,51-200,True
hs_c_3f3ed286f1,usr_00239,thomas.reyes77@company.io,Thomas,Reyes,Singapore,lead,Organic Search,free,2024-01-31,2024-02-16,E-commerce,1-10,True
hs_c_0bef1493cb,usr_00241,charlotte.reyes24@startup.ai,Charlotte,Reyes,Spain,customer,Paid Social,business,2024-01-31,2024-02-05,Education,11-50,False
hs_c_5ba8236a60,usr_00243,ella.smith29@ventures.co,Ella,Smith,United States,lead,Paid Social,free,2024-02-01,2024-03-03,E-commerce,1-10,False
hs_c_0e7067eb76,usr_00244,robert.thomas63@digital.com,Robert,Thomas,Italy,customer,Paid Social,business,2024-02-01,2024-03-02,Healthcare,11-50,True
hs_c_2f6edc6b4d,usr_00245,tyler.martin6@ventures.co,Tyler,Martin,United States,customer,Paid Search,pro,2024-02-01,2024-02-11,Real Estate,51-200,True
hs_c_01992eec60,usr_00246,chloe.baker79@ventures.co,Chloe,Baker,United States,lead,Direct,free,2024-02-01,2024-02-21,Real Estate,51-200,True
hs_c_ca02639dc4,usr_00247,aiden.chen14@works.io,Aiden,Chen,United States,customer,Paid Search,pro,2024-02-01,2024-02-02,Media,11-50,True
hs_c_2c82a91d2f,usr_00248,chloe.williams69@works.io,Chloe,Williams,United States,customer,Referral,pro,2024-02-01,2024-02-28,Education,51-200,False
hs_c_072fff9be7,usr_00252,jackson.davis90@digital.com,Jackson,Davis,United States,customer,Paid Search,business,2024-02-02,2024-03-17,Legal,1-10,True
hs_c_1692a39f40,usr_00253,ava.nelson4@labs.dev,Ava,Nelson,United States,customer,Paid Search,pro,2024-02-02,2024-03-06,Consulting,11-50,True
hs_c_830a3e812d,usr_00255,eric.davis91@outlook.com,Eric,Davis,United States,customer,Organic Search,pro,2024-02-02,2024-02-24,Media,51-200,True
hs_c_8df40ba23d,usr_00258,elizabeth.taylor54@gmail.com,Elizabeth,Taylor,United States,lead,Paid Social,free,2024-02-03,2024-02-19,Finance,11-50,True
hs_c_3a1c9b19e1,usr_00260,james.flores59@gmail.com,James,Flores,United States,customer,Paid Search,pro,2024-02-03,2024-03-01,Media,11-50,True
hs_c_9c34149605,usr_00262,sophia.nelson77@digital.com,Sophia,Nelson,United Kingdom,customer,Referral,pro,2024-02-03,2024-02-08,SaaS,1-10,True
hs_c_cd379cc1ee,usr_00265,natalie.garcia54@outlook.com,Natalie,Garcia,United States,customer,Referral,business,2024-02-04,2024-03-08,Consulting,1-10,True
hs_c_3ee9692893,usr_00269,william.davis68@startup.ai,William,Davis,United States,customer,Paid Social,pro,2024-02-04,2024-03-04,Education,51-200,True
hs_c_cd13331f1c,usr_00274,karen.jackson4@outlook.com,Karen,Jackson,United States,customer,Paid Search,pro,2024-02-05,2024-02-20,Media,51-200,True
hs_c_5de2edb532,usr_00275,brandon.davis54@digital.com,Brandon,Davis,United States,lead,Organic Search,free,2024-02-05,2024-03-11,Education,1-10,True
hs_c_6fab5e5906,usr_00277,karen.thompson39@techcorp.com,Karen,Thompson,United States,lead,Referral,free,2024-02-05,2024-03-17,Legal,51-200,True
hs_c_bfe6d7e085,usr_00278,justin.smith44@startup.ai,Justin,Smith,United States,lead,Organic Search,free,2024-02-05,2024-03-25,Education,51-200,False
hs_c_4d12543862,usr_00279,harper.flores25@yahoo.com,Harper,Flores,United States,customer,Paid Social,business,2024-02-05,2024-03-26,Healthcare,11-50,True
hs_c_cf4f6ae938,usr_00281,barbara.roberts53@labs.dev,Barbara,Roberts,France,customer,Paid Social,business,2024-02-05,2024-02-15,SaaS,51-200,False
hs_c_6d0785f29d,usr_00284,liam.baker74@yahoo.com,Liam,Baker,Italy,customer,Referral,pro,2024-02-05,2024-03-27,Real Estate,11-50,True
hs_c_43b713b5cb,usr_00286,mason.garcia58@startup.ai,Mason,Garcia,Germany,customer,Paid Search,pro,2024-02-05,2024-03-05,Finance,1-10,True
hs_c_66e9c89dd8,usr_00287,jackson.allen48@outlook.com,Jackson,Allen,United States,customer,Paid Social,business,2024-02-05,2024-03-10,SaaS,1-10,True
hs_c_5d6f951c6e,usr_00288,aaron.garcia62@gmail.com,Aaron,Garcia,Sweden,lead,Paid Search,free,2024-02-05,2024-03-04,Legal,1-10,True
